tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@62.4.2_x,f_helice@62.4.2_y,f_helice@62.4.2_z,f_helice@62.4.22_x,f_helice@62.4.22_y,f_helice@62.4.22_z,f_helice@66.4.12_x,f_helice@66.4.12_y,f_helice@66.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
230,11.5,1.2462,9.7474,-0.1429,1.37684,0.0,-0.15788,1.38586,1.38586,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,1525.84,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-1515.906,-0.0,173.822
235,11.75,1.6108,9.7474,-0.1847,1.51077,0.0,-0.17323,1.52067,1.52067,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,1681.54,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-1670.591,-0.0,191.559
240,12.0,2.0064,9.7474,-0.2301,1.62804,0.0,-0.18668,1.63871,1.63871,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,1817.86,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-1806.03,-0.0,207.089
245,12.25,2.4291,9.7474,-0.2785,1.73071,0.0,-0.19845,1.74205,1.74205,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,1937.23,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-1924.619,-0.0,220.687
250,12.5,2.8755,9.7474,-0.3297,1.82062,0.0,-0.20876,1.83255,1.83255,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2041.74,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2028.453,-0.0,232.593
255,12.75,3.3427,9.7474,-0.3833,1.89933,0.0,-0.21779,1.91178,1.91178,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2133.26,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2119.369,-0.0,243.018
260,13.0,3.828,9.7474,-0.4389,1.96826,0.0,-0.22569,1.98115,1.98115,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2213.38,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2198.974,-0.0,252.146
265,13.25,4.3293,9.7474,-0.4964,2.02861,0.0,-0.23261,2.0419,2.0419,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2283.54,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2268.674,-0.0,260.139
270,13.5,4.8445,9.7474,-0.5555,2.08145,0.0,-0.23867,2.09509,2.09509,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2344.97,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2329.703,-0.0,267.136
275,13.75,5.372,9.7474,-0.616,2.12771,0.0,-0.24398,2.14165,2.14165,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2398.75,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2383.139,-0.0,273.264
280,14.0,5.9101,9.7474,-0.6777,2.16822,0.0,-0.24862,2.18243,2.18243,0.0,1.23731,2116.25,23278.75,8846.78,2825.06,2445.85,-13914.619,433.33,4505,256.0,7680.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,779.524,146.162,-89.384,779.524,146.162,-89.384,1200.155,225.031,-137.616,-2429.927,-0.0,278.629
