tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
1095,54.75,0.0,156.3165,0.0,0.0,0.01219,0.0,0.01219,0.0,0.01219,0.68776,1856.75,20424.25,20426.58,0.0,9.06,-6.731,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20426.579,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9.06,-0.0
1100,55.0,0.0,156.3195,0.0,0.0,0.01132,0.0,0.01132,0.0,0.01132,0.68775,1856.75,20424.25,20426.34,0.0,8.42,-6.33,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20426.336,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8.416,-0.0
1105,55.25,0.0,156.3222,0.0,0.0,0.01051,0.0,0.01051,0.0,0.01051,0.68775,1856.75,20424.25,20426.11,0.0,7.81,-5.949,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20426.111,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7.811,-0.0
1110,55.5,0.0,156.3247,0.0,0.0,0.00974,0.0,0.00974,0.0,0.00974,0.68774,1856.75,20424.25,20425.9,0.0,7.24,-5.589,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20425.903,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7.242,-0.0
1115,55.75,0.0,156.327,0.0,0.0,0.00902,0.0,0.00902,0.0,0.00902,0.68773,1856.75,20424.25,20425.71,0.0,6.71,-5.248,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20425.709,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6.708,-0.0
1120,56.0,0.0,156.3292,0.0,0.0,0.00834,0.0,0.00834,0.0,0.00834,0.68773,1856.75,20424.25,20425.53,0.0,6.21,-4.926,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20425.531,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6.206,-0.0
1125,56.25,0.0,156.3311,0.0,0.0,0.00771,0.0,0.00771,0.0,0.00771,0.68772,1856.75,20424.25,20425.37,0.0,5.74,-4.621,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20425.365,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-5.736,-0.0
1130,56.5,0.0,156.333,0.0,0.0,0.00712,0.0,0.00712,0.0,0.00712,0.68772,1856.75,20424.25,20425.21,0.0,5.29,-4.332,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20425.212,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-5.295,-0.0
1135,56.75,0.0,156.3347,0.0,0.0,0.00656,0.0,0.00656,0.0,0.00656,0.68771,1856.75,20424.25,20425.07,0.0,4.88,-4.06,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20425.071,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-4.881,-0.0
1140,57.0,0.0,156.3362,0.0,0.0,0.00604,0.0,0.00604,0.0,0.00604,0.68771,1856.75,20424.25,20424.94,0.0,4.49,-3.802,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20424.942,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-4.494,-0.0
1145,57.25,0.0,156.3377,0.0,0.0,0.00555,0.0,0.00555,0.0,0.00555,0.6877,1856.75,20424.25,20424.82,0.0,4.13,-3.559,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20424.822,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-4.131,-0.0
1150,57.5,0.0,156.339,0.0,0.0,0.00509,0.0,0.00509,0.0,0.00509,0.6877,1856.75,20424.25,20424.71,0.0,3.79,-3.329,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20424.712,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-3.791,-0.0
