tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@63.4.2_x,f_helice@63.4.2_y,f_helice@63.4.2_z,f_helice@63.4.22_x,f_helice@63.4.22_y,f_helice@63.4.22_z,f_helice@67.4.12_x,f_helice@67.4.12_y,f_helice@67.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
245,12.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
250,12.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
255,12.75,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
260,13.0,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
265,13.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
270,13.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
275,13.75,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
280,14.0,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
285,14.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
290,14.5,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,576.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
